Nombre,Precio,Precio_unit,Categoria,Subcategoria,categoria_principal,Unidad_medida,Marca
La Montesa Tinto 2020,15.3,15.3,bebidas,vinos,Bodega,UNIDAD,MONTESA
Crema Adhesiva Clasica Tamaño Ahorro Kukident 70 g.,15.29,21.841,parafarmacia,higiene bucal,Cuidado facial y corporal,100 GR,
Crema adhesiva premium Kukident 57 g.,15.29,26.821,parafarmacia,higiene bucal,Cuidado facial y corporal,100 GR,
Champú complemento anticaída Anaphase+ Ducray 200 ml.,15.29,7.641,parafarmacia,cabello,Cuidado del cabello,100 ML,
Crema adhesiva para dentaduras postizas Pro Doble Acción Kukident 60 g.,15.29,21.841,parafarmacia,higiene bucal,Cuidado facial y corporal,100 GR,
Leche bruma protectora SPF30 Broncea+ Ecran Sunnique 250 ml.,15.29,6.121,perfumeria e higiene,cuidado y proteccion corporal,Bodega,100 ML,
Crema corporal hydra bebe Mustela 750 ml.,15.29,2.041,bebe,perfumeria e higiene,Cuidado facial y corporal,100 ML,
Leche bruma protectora SPF50 Broncea+ Ecran Sunnique 250 ml.,15.29,6.121,perfumeria e higiene,cuidado y proteccion corporal,Bodega,100 ML,
Pants Agatha Ruiz de la Prada Talla 5 (12-18 kg) 40 ud. Exclusivo Carrefour,15.29,0.38,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD,
Crema facial hidratante antiedad FP15 Hyaluron Nivea Men 50 ml.,15.29,30.581,perfumeria e higiene,cuidado y proteccion corporal,Bodega,100 ML,
Pants Agatha Ruiz de la Prada Talla 6 (+ 16 kg) 36 ud. Exclusivo Carrefour,15.29,0.42,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD,
"Pescadilla 1,7 kg aprox",15.28,8.99,productos frescos,pescaderia,Marisco y pescado,KILO,
Aceite seco en spray Bruma SPF 30 Hawaiian Tropic 180 ml.,15.25,8.471,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Vitaminas para la memoria Memorex Forté Pharma - Energy 56 comprimidos.,15.25,14.521,parafarmacia,nutricion y dietetica,"Cacao, café e infusiones",100 GR,
Bruma protectora Invisible Protect SPF30 Garnier Delial 200 ml.,15.25,7.621,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Pienso de pollo para perro adulto medium maxi Ultima 3 Kg,15.19,5.06,mascotas,perros,Mascotas,KILO,
Licor Campari 70 cl.,15.19,21.7,bebidas,alcoholes,Bodega,LITRO,CAMPARI
Llopart Brut Nature Espumoso Blanco 2019,15.19,15.19,bebidas,cava y champagne,Bodega,UNIDAD,LLOPART
Potenciador de lavado quitamanchas para ropa en gel sin lejía Oxi Advance Vanish 1500 ml.,15.19,10.13,limpieza y hogar,cuidado de la ropa,Cuidado facial y corporal,LITRO,
Crema fijadora para prótesis dentales máximo sellado Corega 70 g.,15.19,21.701,parafarmacia,higiene bucal,Cuidado facial y corporal,100 GR,
Leche solar activadora del bronceado FP 30 Protege & Broncea Nivea Sun 200 ml.,15.19,7.591,perfumeria e higiene,cuidado y proteccion corporal,Bodega,100 ML,
Spray bruma protectora para pieles sensibles y atópicas SPF50+ Ecran Denenes 250 ml.,15.19,6.081,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Spray bruma invisible protectora SPF 50 Ecran Sunnique 250 ml.,15.19,6.081,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Pienso de pollo y arroz para perro cachorro medium Ultima 3 Kg.,15.19,5.06,mascotas,perros,"Arroz, legumbres y pasta",KILO,
Pienso light pollo y arroz para perros adultos medium maxi Ultima 3 Kg,15.19,5.06,mascotas,perros,"Arroz, legumbres y pasta",KILO,
Agua de colonia Brummel 500 ml.,15.15,3.031,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML,
Loción Talquistina 200 ml.,15.15,7.571,parafarmacia,botiquin,Fitoterapia y parafarmacia,100 ML,
Pants de incontinencia absodys men Talla L Carrefour 14 ud.,15.15,1.08,perfumeria e higiene,higiene intima,Cuidado facial y corporal,UNIDAD,
Ballantine'S Light Whisky,15.15,21.64,bebidas,alcoholes,Bodega,LITRO,
Ginebra Beefeater 70 cl.,15.15,21.64,bebidas,alcoholes,Bodega,LITRO,BEEFEATER
Natillas sustitutivas sabor chocolate en sobres Bimanán BeSlim 6 ud.,15.15,6.061,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,
Gordons Premium Pink Ginebra,15.15,21.64,bebidas,alcoholes,Bodega,LITRO,
Champú tratante alivia el picor elimina la caspa Kelual DS Ducray 100 ml.,15.15,15.151,parafarmacia,cabello,Cuidado del cabello,100 ML,
Acondicionador anticaída Pilexil 200 ml.,15.15,7.571,parafarmacia,cabello,Cuidado del cabello,100 ML,
Natillas sustitutivas sabor vainilla en sobres Bimanán BeSlim 6 ud.,15.15,5.831,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,
Champú anticaspa cabello normal graso T/Gel Neutrogena pack de 2 unidades de 250 ml.,15.09,3.021,parafarmacia,cabello,Cuidado facial y corporal,100 ML,
Gel para lavavajillas lima y limón Oro Somat pack de 2 unidades de 50 lavados.,15.09,0.15,limpieza y hogar,productos para cocina,Cuidado facial y corporal,LAVADO,
Detergente en polvo limpieza profunda Skip 75 lavados,15.09,0.2,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LAVADO,
Preservativos Originales Natural Plus Durex 24 ud.,15.09,0.63,perfumeria e higiene,bienestar sexual,Fitoterapia y parafarmacia,UNIDAD,
Leche infantil de crecimiento 3 desde 12 meses ecológica HiPP  brik  500 g.,15.09,30.18,bebe,alimentacion infantil,Bebé,KILO,HIPP
Complemento alimenticio DeMemory 30 cápsulas,15.09,68.591,la despensa,alimentacion,"Salsas, pasta y refrescos",100 GR,
Ron Havana Club añejo 3 años 70 cl.,15.09,21.56,bebidas,alcoholes,Bodega,LITRO,
Maquinillas desechable para hombre Blue II Gillette 30 ud.,15.09,0.5,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,UNIDAD,
Gel y champú para la higiene de la piel y cabellos delicados Pon-emo Colágeno 1000 ml.,15.09,1.511,parafarmacia,cuidado corporal,Cuidado facial y corporal,100 ML,
Crema facial hidratante Sensitive Advanced FPS 50+ Garnier Delial 50 ml.,15.09,30.181,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Gel para lavavajillas antigrasa Oro Somat pack de 2 unidades de 50 lavados.,15.09,0.15,limpieza y hogar,productos para cocina,Cuidado facial y corporal,LAVADO,
Gel para lavavajillas frescor antiolor Oro Somat pack de 2 unidades de 50 lavados.,15.09,0.15,limpieza y hogar,productos para cocina,Cuidado facial y corporal,LAVADO,
Detergente líquido colores vivos limpia y revive Micolor 52 lavados.,15.09,0.29,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LAVADO,
Vermut St. Petroni 75 cl.,15.09,20.12,bebidas,alcoholes,Bodega,LITRO,
Detergente en cápsulas extra frescor Nenuco Colon 32 ud.,15.09,0.47,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LAVADO,
Langostinos blancos crudos congelados Gambafresh 750 g.,15.09,20.12,congelados,mariscos congelados,Cuidado facial y corporal,KILO,GAMBAFRESH LANGOSTINO
Jamón de Cebo Ibérico de Campo 50% Raza Ibérica Esencia Única Covap 120 g,15.09,125.75,productos frescos,charcuteria,Charcutería y quesos,KILO,
Apósitos ampollas medianas Compeed 10 ud.,15.09,1.51,parafarmacia,cuidado de manos y pies,Fitoterapia y parafarmacia,UNIDAD,
Vermut St. Petroni blanco 75 cl.,15.09,20.12,bebidas,alcoholes,Bodega,LITRO,
Aguardiente Antioqueño sin azúcar 1 l.,15.05,15.05,bebidas,licores y cremas,Bodega,LITRO,
Aceite de oliva virgen extra hojiblanca Coosur 1 l.,14.99,14.99,la despensa,alimentacion,"Aceite, especias y salsas",LITRO,COOSUR
"Pack Tresemmé liso keratina: Champú 685 ml, Acondicionador 685 ml y Mascarilla 440 ml.",14.99,14.99,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD,
Aceite de oliva virgen extra arbequina Coosur 1 l.,14.99,14.99,la despensa,alimentacion,"Aceite, especias y salsas",LITRO,
Aceite de oliva virgen extra intenso Coosur 1 l.,14.99,14.99,la despensa,alimentacion,"Aceite, especias y salsas",LITRO,COOSUR
Aceite de oliva virgen extra Coosur 1 l.,14.99,14.99,la despensa,alimentacion,"Aceite, especias y salsas",LITRO,COOSUR
Insecticida Ultra Pol 750ml Compo,14.99,19.99,limpieza y hogar,bazar,Limpieza y hogar,LITRO,
Filtro de Agua PHILIPS X-Guard,14.99,14.99,limpieza y hogar,menaje,Limpieza y hogar,UNIDAD,
Agua de colonia Classic Blue David Beckham 100 ml.,14.95,14.951,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML,
"Mochila elefante multiproductos para bebé Nenuco: agua de colonia 200 ml, champú 200 ml, jabón líquido 200 ml y leche hidratante 200 ml",14.95,14.95,bebe,perfumeria e higiene,Cuidado facial y corporal,UNIDAD,
Aceite de oliva virgen extra Koipe 1 l.,14.95,14.95,la despensa,alimentacion,"Aceite, especias y salsas",LITRO,KOIPE
"Merluza de lonja 1,5 kg aprox",14.93,9.95,productos frescos,pescaderia,Marisco y pescado,KILO,
Rabo de Vaca porcionado El Encinar de Humienta 1 kg aprox,14.9,14.9,productos frescos,carniceria,Carne,KILO,
Gel puro de aloe vera Grisi 250 ml.,14.89,5.961,parafarmacia,cuidado corporal,Cuidado facial y corporal,100 ML,
Leche protectora solar niños pieles sensibles atópicas SPF50+ Ecran Denenes 270 ml.,14.89,4.961,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Whisky Fireball 70 cl.,14.89,21.27,bebidas,alcoholes,Bodega,LITRO,FIREBALL
Leche infantil para lactantes en polvo Nestlé Nidina 1 lata 800 g.,14.89,18.61,bebe,alimentacion infantil,Bebé,KILO,NIDINA
Licenciado Tinto Reserva 2018,14.89,14.89,bebidas,vinos,Bodega,UNIDAD,LICENCIADO
"Café ristretto en cápsulas L'Or Espresso compatible con Nespresso 40 unidades de 5,2 g.",14.89,71.59,la despensa,desayuno,"Cacao, café e infusiones",KILO,LOR
"Café onyx en cápsulas L'Or Espresso compatible con Nespresso 40 unidades de 5,2 g.",14.89,71.59,la despensa,desayuno,"Cacao, café e infusiones",KILO,LOR
Lubricante con ingredientes 100% naturales Naturals H2O Durex 100 ml.,14.89,14.891,perfumeria e higiene,bienestar sexual,Fitoterapia y parafarmacia,100 ML,
Preservativos invisibles super finos para maximizar la sensibilidad Durex 12 ud.,14.89,1.24,perfumeria e higiene,bienestar sexual,Fitoterapia y parafarmacia,UNIDAD,
"Café Colombia en cápsulas L'or Espresso compatible con Nespresso 40 unidades de 5,2 g.",14.89,71.59,la despensa,desayuno,"Cacao, café e infusiones",KILO,LOR
Fluido protector antimanchas SPF50+ Ecran Sunnique 50 ml.,14.89,29.781,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Licor de hierbas Ruavieja 1 l.,14.89,14.89,bebidas,licores y cremas,Bodega,LITRO,RUAVIEJA
Pants de incontinencia absodys men Talla M Carrefour 14 ud.,14.89,1.06,perfumeria e higiene,higiene intima,Cuidado facial y corporal,UNIDAD,
Sérum tratamiento concentrado Antiarrugas Expert Nivea Q10 15 ml.,14.89,99.271,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
"Cacao soluble original Cola Cao 2,5 kg.",14.89,5.96,la despensa,desayuno,"Cacao, café e infusiones",KILO,COLA CAO
Agua de colonia Don Algodón 200 ml.,14.89,7.441,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML,
Complemento sueño forte en comprimidos Aquilea 30 ud.,14.89,49.631,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,
Aceite de oliva virgen Carbonell 1 l.,14.89,14.89,la despensa,alimentacion,"Aceite, especias y salsas",LITRO,CARBONELL
Aceite de oliva virgen extra variedad picual Dcoop 1 l.,14.89,14.89,la despensa,alimentacion,"Aceite, especias y salsas",LITRO,
Ron Capitán Morgan spiced gold 70 cl.,14.89,21.27,bebidas,alcoholes,Bodega,LITRO,
Aceite de oliva virgen extra hojiblanca Dcoop 1 l.,14.89,14.89,la despensa,alimentacion,"Aceite, especias y salsas",LITRO,
Aceite de oliva virgen extra arbequina Dcoop 1 l.,14.89,14.89,la despensa,alimentacion,"Aceite, especias y salsas",LITRO,
Detergente gel Total 4+1 Dixan 60 lavados.,14.89,0.25,limpieza y hogar,cuidado de la ropa,Cuidado facial y corporal,LAVADO,
"Queso curado Tierra de Tradición pieza 1,1 kg.",14.89,13.54,productos frescos,quesos,Charcutería y quesos,KILO,
Ron añejo 3 años Viejo de Caldas 70 cl.,14.85,21.21,bebidas,alcoholes,Bodega,LITRO,VIEJO CALDAS
Potenciador de lavado quitamanchas para ropa blanca en polvo sin lejía Oxi Action Vanish 800 g.,14.85,18.56,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,KILO,
La Cave D'Agustin Florent Blanco 2020,14.85,14.85,bebidas,vinos,Bodega,UNIDAD,
La Cave D'Agustin Florent Blanco 2022,14.85,14.85,bebidas,vinos,Bodega,UNIDAD,CAVE AGUSTIN
"Sérum antimanchas con vitamina C, niacinamida y ácido salicílico Skin Active Garnier 30 ml.",14.85,49.501,perfumeria e higiene,cuidado y proteccion corporal,"Aceite, especias y salsas",100 ML,
Detergente en cápsulas limpieza profunda fragancia floral Power Caps Wipp Express 33 ud.,14.79,0.45,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LAVADO,
Leche solar FP30 Protege & Hidrata Nivea Sun 200 ml.,14.79,7.391,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Potenciador de lavado quitamanchas para ropa en polvo sin lejía Oxi Action Vanish 800 g.,14.79,18.49,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,KILO,
"Cerveza Corona pack de 10 botellas de 35,5 cl.",14.79,4.17,bebidas,cerveza,Bodega,LITRO,CORONA
Foie gras de carnard entier refflets de france Reflets de France 180 g.,14.79,82.17,productos frescos,charcuteria,Charcutería y quesos,KILO,
Queso de cabra madurado graso La Laguna 700 g,14.77,21.1,productos frescos,quesos,Charcutería y quesos,KILO,LAGUNA
"Chuletas de cordero Mamá Cordero 0,45 kg - 0,65 kg",14.76,36.9,productos frescos,carniceria,Carne,KILO,CARREFOUR
Complemento alimenticio en comprimidos efervescentes Vitamina C+ Zinc Aquilea sin gluten y sin lactosa 28 ud.,14.75,8.781,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,
Lubricante hidratante con ingredientes 100% naturales Naturals Durex 100 ml.,14.75,14.751,perfumeria e higiene,bienestar sexual,Fitoterapia y parafarmacia,100 ML,
Cubo para Fregona Plástico VILEDA Super Fácil 10 l.,14.75,14.75,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,UNIDAD,
"Lubricante aloe vera 100% natural sin fragancia, colorantes ni agentes irritantes Naturals Extra Sensitivo Durex 100 ml.",14.75,14.751,perfumeria e higiene,bienestar sexual,Fitoterapia y parafarmacia,100 ML,
Lavavajillas a máquina original pastillas todo en uno aroma limón Fairy 41 ud.,14.69,0.36,limpieza y hogar,productos para cocina,Limpieza y hogar,LAVADO,
Preservativos sensitivos Real Feel Durex 12 ud.,14.69,1.22,perfumeria e higiene,bienestar sexual,Fitoterapia y parafarmacia,UNIDAD,
Papel higiénico acolchado Carrefour 24 rollos,14.69,0.61,limpieza y hogar,papel y celulosa,Limpieza y hogar,UNIDAD,
Whisky Dewar's White Label escocés 70 cl.,14.69,20.99,bebidas,alcoholes,Bodega,LITRO,DEWAR
Crema balsámica para proteger la zona del pañal Sebamed 300 ml.,14.65,4.881,bebe,perfumeria e higiene,Cuidado facial y corporal,100 ML,
Pañales Dodot Pro Sensitive T2 (4-8 kg.) 36 ud.,14.65,0.41,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD,
Correa para perro extensible flexible standard Medium 5M,14.65,14.65,mascotas,perros,Mascotas,UNIDAD,
Correa para perros extensible flexi standard Small 5M,14.65,14.65,mascotas,perros,Mascotas,UNIDAD,
Colutorio aloe vera Vitis 1000 ml.,14.65,1.461,parafarmacia,higiene bucal,Cuidado facial y corporal,100 ML,
Recambio cepillo dental eléctrico Cross Action Oral-B 2 ud.,14.65,7.32,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,UNIDAD,
Oleogel de ducha pH5 para pieles sensibles y secas Eucerin 400 ml.,14.65,3.661,parafarmacia,cuidado corporal,Cuidado facial y corporal,100 ML,
Cinta Purpura Cava Reserva,14.59,14.59,bebidas,cava y champagne,Bodega,UNIDAD,CINTA PURPURA
Champú anticaspa apple fresh H&S 1000 ml.,14.59,1.461,perfumeria e higiene,cabello,Cuidado del cabello,100 ML,
Champú y acondicionador anticaspa classic 2 en 1 H&S 1000 ml.,14.59,1.461,perfumeria e higiene,cabello,Cuidado del cabello,100 ML,
Ginebra Beefeater Pink premium strawberry 70 cl.,14.59,20.84,bebidas,alcoholes,Bodega,LITRO,
Whisky Dyc 1 l.,14.55,14.55,bebidas,alcoholes,Bodega,LITRO,DYC
"Vermut Martini blanco 1,5 l.",14.55,0.0,bebidas,alcoholes,Bodega,No especificado,MARTINI
Spray protector solar SPF50+ Sensitive Advanced Garnier Delial 270 ml.,14.55,5.391,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Martini Rojo Vermouth,14.55,0.0,bebidas,alcoholes,Bodega,No especificado,MARTINI
Papel higiénico Acolchado Scottex 24 rollos,14.55,0.61,limpieza y hogar,papel y celulosa,Limpieza y hogar,UNIDAD,
Martin Codax Blanco Joven 2022,14.5,14.5,bebidas,vinos,Bodega,UNIDAD,
Desodorante roll-on piel normal Roc Keops pack de 2 unidades de 30 ml.,14.49,24.151,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML,
Vodka Stolichnaya 70 cl.,14.49,20.7,bebidas,alcoholes,Bodega,LITRO,STOLICHNAYA
GEL BADEDAS 750 ML,14.49,1.931,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML,
Ruavieja Orujo,14.49,20.7,bebidas,alcoholes,Bodega,LITRO,RUAVIEJA
Bolitas de cacahuete y chocolate con leche m&m's 1 kg.,14.49,14.49,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,
Lima pedicura eléctrica Dytas,14.49,14.49,perfumeria e higiene,cosmetica,Cuidado facial y corporal,UNIDAD,
Aceite de oliva virgen serie oro Coosur 1 l.,14.49,14.49,la despensa,alimentacion,"Aceite, especias y salsas",LITRO,COOSUR
Preservativos con puntos y estrías para ella y efecto retardante eyaculación para él Mutual Clímax Durex 12 ud.,14.49,1.21,perfumeria e higiene,bienestar sexual,Fitoterapia y parafarmacia,UNIDAD,
Crema reparadora intensiva ecológica Skin Food Original Weleda 75 ml.,14.49,19.321,parafarmacia,cuidado corporal,Cuidado facial y corporal,100 ML,
Leche corporal hidratante con aguacate Hydra Bebé Mustela 500 ml.,14.49,2.901,bebe,perfumeria e higiene,Cuidado facial y corporal,100 ML,
Papel higiénico 3 capas ultra confort Carrefour 32 rollos.,14.49,0.45,limpieza y hogar,papel y celulosa,Limpieza y hogar,UNIDAD,
Whisky Dyc 8 años 70 cl.,14.49,20.7,bebidas,alcoholes,Bodega,LITRO,DYC
Lustau Vermouth,14.49,19.32,bebidas,alcoholes,Bodega,LITRO,
Detergente líquido jazmín fresco y lavanda silvestre ecológico Botanical Origin 35 lavados.,14.45,0.41,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LAVADO,
Gel dermatológico ph 5.5 con colágeno y lipo-proteinas Inibsa pack de 4 unidades de 1 l.,14.45,0.361,parafarmacia,cuidado corporal,Cuidado facial y corporal,100 ML,
Crema pieles sensibles e irritadas Piel en Calma Talquistina 100 ml.,14.45,14.451,parafarmacia,botiquin,botiquin,100 ML,
Gel de masaje y lubricante íntimo 2 en 1 con seductor ylang ylang  Play Durex 200 ml.,14.45,7.221,perfumeria e higiene,bienestar sexual,Cuidado facial y corporal,100 ML,
Pipetas permetrina para perro grande (15-60Kg) Dixie 3X2 ml,14.45,14.45,mascotas,perros,Mascotas,UNIDAD,
Gel de masaje corporal erótico y estimulante con guaraná Play Massage 2 en 1 Durex 200 ml.,14.45,7.221,perfumeria e higiene,bienestar sexual,Cuidado facial y corporal,100 ML,
Gel de masaje erótico y lubricante estimulante con aloe vera Play Massage 2 en 1 Durex 200 ml.,14.45,7.221,perfumeria e higiene,bienestar sexual,Cuidado facial y corporal,100 ML,
Queso de tetilla Gallego D.O.P. Tetilla De Nuestra Tierra pieza de 850 g aprox,14.41,16.95,productos frescos,quesos,Charcutería y quesos,KILO,NUESTRA TIERRA
Cerveza rubia Heineken Lager pack de 18 latas de 33 cl.,14.4,2.42,bebidas,cerveza,Bodega,LITRO,
Complemento alimenticio con triptófano Triptomax sin gluten sin lactosa 30 comprimidos.,14.39,72.681,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,
Pienso de buey para perro adulto Mini Ultima 3 Kg.,14.39,4.8,mascotas,perros,Mascotas,KILO,
Pienso de pollo y arroz para perro adulto Ultima Dog 3 Kg,14.39,4.8,mascotas,perros,"Arroz, legumbres y pasta",KILO,
Agua de colonia Blue Poseidon 150 ml.,14.39,9.591,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML,
Desodorante roll-on antitranspirante Comfort Perspirex 20 ml.,14.39,71.951,parafarmacia,cuidado corporal,Cuidado facial y corporal,100 ML,
Gel limpiador facial DermatoClean Eucerin 200 ml.,14.39,7.191,parafarmacia,cuidado e higiene facial,Cuidado facial y corporal,100 ML,
Preservativos invisibles extra lubricado super finos para maximizar la sensibilidad Durex 12 ud.,14.39,1.2,perfumeria e higiene,bienestar sexual,Fitoterapia y parafarmacia,UNIDAD,
